start_date,end_date,gasolina_IO95,gasoleo_rodoviario,gasoleo_colorido_marcado,gasolina_IO98,pdf_url
2008-09-01,2008-09-07,1.383,1.271,0.915,1.533,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-163-2008-08-28.pdf
2008-09-15,2008-09-21,1.375,1.243,0.888,1.525,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-173-2008-09-11.pdf
2008-09-29,2008-10-05,1.372,1.23,0.875,1.522,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-183-2008-09-25.pdf
2008-10-13,2008-10-19,1.353,1.209,0.856,1.503,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-193-2008-10-09Supl.pdf
2008-10-27,2008-11-02,1.323,1.187,0.835,1.473,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-203-2008-10-23Supl.pdf
2008-11-03,2008-11-09,1.197,1.087,0.741,1.347,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-209-2008-10-31Supl.pdf
2008-11-10,2008-11-16,1.18,1.07,0.724,1.33,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-214-2008-11-07Supl.pdf
2008-11-17,2008-11-23,1.151,1.061,0.716,1.301,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-219-2008-11-14Supl.pdf
2008-11-24,2008-11-30,1.127,1.038,0.694,1.277,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-224-2008-11-21Supl.pdf
2008-12-01,2008-12-07,1.091,1.006,0.664,1.241,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-229-2008-11-28Supl.pdf
2008-12-08,2008-12-14,1.08,0.987,0.646,1.23,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-233-2008-12-05Supl.pdf
2008-12-15,2008-12-21,1.065,0.961,0.621,1.215,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-237-2008-12-12Supl.pdf
2008-12-22,2008-12-28,1.04,0.919,0.581,1.19,https://joram.madeira.gov.pt/joram/2serie/Ano de 2008/IISerie-242-2008-12-19Supl3.pdf
2009-01-12,2009-01-18,1.007,0.877,0.542,1.157,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-006-2009-01-09Supl.pdf
2009-01-19,2009-01-25,1.046,0.917,0.579,1.196,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-011-2009-01-16Supl.pdf
2009-01-26,2009-02-01,1.056,0.914,0.576,1.206,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-016-2009-01-23Supl.pdf
2009-02-02,2009-02-08,1.056,0.903,0.566,1.206,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-021-2009-01-30Supl.pdf
2009-02-09,2009-02-15,1.068,0.906,0.569,1.218,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-026-2009-02-06Supl.pdf
2009-02-16,2009-02-22,1.08,0.91,0.573,1.23,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-031-2009-02-13Supl.pdf
2009-02-23,2009-03-01,1.081,0.902,0.565,1.231,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-036-2009-02-20Supl2.pdf
2009-03-02,2009-03-08,1.07,0.881,0.545,1.22,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-041-2009-02-27Supl.pdf
2009-03-09,2009-03-15,1.073,0.877,0.541,1.223,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-046-2009-03-06Supl2.pdf
2009-03-16,2009-03-22,1.075,0.871,0.535,1.225,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-050-2009-03-13Supl.pdf
2009-03-23,2009-03-29,1.073,0.863,0.529,1.223,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-055-2009-03-20Supl.pdf
2009-03-30,2009-04-05,1.077,0.87,0.535,1.227,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-060-2009-03-27Supl.pdf
2009-04-06,2009-04-12,1.1,0.891,0.555,1.25,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-065-2009-04-03Supl.pdf
2009-04-13,2009-04-19,1.107,0.896,0.559,1.257,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-068-2009-04-08Supl.pdf
2009-04-27,2009-05-03,1.117,0.897,0.561,1.267,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-079-2009-04-24Supl.pdf
2009-05-04,2009-05-10,1.12,0.897,0.56,1.27,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-083-2009-04-30Supl.pdf
2009-05-11,2009-05-17,1.115,0.898,0.561,1.265,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-088-2009-05-08Supl.pdf
2009-05-18,2009-05-24,1.145,0.904,0.567,1.295,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-093-2009-05-15Supl.pdf
2009-05-25,2009-05-31,1.158,0.909,0.571,1.308,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-098-2009-05-22Supl.pdf
2009-06-01,2009-06-07,1.177,0.904,0.567,1.327,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-103-2009-05-29Supl.pdf
2009-06-08,2009-06-14,1.187,0.909,0.572,1.337,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-108-2009-06-05Supl2.pdf
2009-06-15,2009-06-21,1.2,0.931,0.593,1.35,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-111-2009-06-12.pdf
2009-06-22,2009-06-28,1.223,0.949,0.609,1.373,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-116-2009-06-19Supl.pdf
2009-06-29,2009-07-05,1.23,0.96,0.62,1.38,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-121-2009-06-26Supl2.pdf
2009-07-06,2009-07-12,1.212,0.952,0.613,1.362,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-125-2009-07-03.pdf
2009-07-13,2009-07-19,1.201,0.942,0.603,1.351,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-130-2009-07-10sup.pdf
2009-07-20,2009-07-26,1.18,0.918,0.581,1.33,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-135-2009-07-17Supl.pdf
2009-07-27,2009-08-02,1.176,0.91,0.572,1.326,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-140-2009-07-24.pdf
2009-08-03,2009-08-09,1.193,0.933,0.594,1.343,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-144-2009-07-30Supl.pdf
2009-08-10,2009-08-16,1.211,0.947,0.607,1.361,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-150-2009-08-07Supl.pdf
2009-08-17,2009-08-23,1.222,0.959,0.619,1.372,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-155-2009-08-14Supl.pdf
2009-08-24,2009-08-30,1.229,0.966,0.626,1.379,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-159-2009-08-20Supl.pdf
2009-08-31,2009-09-06,1.223,0.963,0.623,1.373,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-164-2009-08-28Supl.pdf
2009-09-07,2009-09-13,1.212,0.957,0.617,1.362,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-168-2009-09-04Supl.pdf
2009-09-14,2009-09-20,1.207,0.949,0.609,1.357,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-173-2009-09-11Supl.pdf
2009-09-21,2009-09-27,1.197,0.936,0.597,1.347,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-178-2009-09-18Supl.pdf
2009-09-28,2009-10-04,1.188,0.935,0.596,1.338,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-183-2009-09-25Supl.pdf
2009-10-05,2009-10-11,1.169,0.923,0.585,1.319,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-188-2009-10-02Supl.pdf
2009-10-12,2009-10-18,1.175,0.931,0.592,1.325,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-192-2009-10-09.pdf
2009-10-19,2009-10-25,1.168,0.928,0.59,1.318,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-197-2009-10-16Supl.pdf
2009-10-26,2009-11-01,1.187,0.95,0.61,1.337,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-202-2009-10-23Supl2.pdf
2009-11-02,2009-11-08,1.202,0.962,0.622,1.352,https://joram.madeira.gov.pt/joram/2serie/Ano de 2009/IISerie-207-2009-10-30Supl4.pdf
